City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bredasdorp,ZA,-34.5322,20.0403,56.55,73,100,10.83,overcast clouds
81,Ahipara,NZ,-35.1667,173.1667,61.63,88,100,19.77,moderate rain
82,Mpigi,UG,0.225,32.3136,61.92,96,100,2.3,light rain
83,Ancud,CL,-41.8697,-73.8203,42.58,76,9,4.12,clear sky
84,Nagaur,IN,27.2,73.7333,81.57,68,0,23.47,clear sky
85,Broome,US,42.2506,-75.833,64.56,72,20,4.61,few clouds
86,Rikitea,PF,-23.1203,-134.9692,75.9,70,5,6.08,clear sky
87,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,40,13.8,scattered clouds
88,Moose Factory,CA,51.2585,-80.6094,46.4,71,0,9.22,clear sky
89,Faya,SA,18.3851,42.4509,63.12,43,8,1.97,clear sky
90,Seregelyes,HU,47.1105,18.565,54.61,63,100,5.7,overcast clouds
91,Albany,US,42.6001,-73.9662,70.21,59,47,4.0,scattered clouds
92,Berat,AL,40.7058,19.9522,66.49,59,0,5.19,clear sky
93,Aklavik,CA,68.2191,-135.0107,47.08,59,100,5.12,overcast clouds
94,Peleduy,RU,59.6289,112.7406,52.07,48,99,7.92,overcast clouds
95,Belmonte,BR,-15.8631,-38.8828,72.82,85,1,1.34,clear sky
96,Fukue,JP,32.6881,128.8419,71.96,78,75,5.75,broken clouds
97,Tessalit,ML,20.1986,1.0114,93.78,9,85,5.26,overcast clouds
98,Bahia Blanca,AR,-38.7196,-62.2724,43.79,51,1,13.69,clear sky
99,Mahibadhoo,MV,3.7833,72.9667,82.44,76,100,15.35,light rain
100,Dabat,ET,12.9842,37.765,60.39,21,52,3.4,broken clouds
101,Touros,BR,-5.1989,-35.4608,74.3,93,100,8.3,overcast clouds
102,Eyrarbakki,IS,63.863,-21.1481,50.05,82,83,5.01,broken clouds
103,Kavaratti,IN,10.5669,72.642,82.02,78,98,12.21,overcast clouds
104,Carbondale,US,37.7273,-89.2168,74.05,65,0,11.5,clear sky
105,Najran,SA,17.4924,44.1277,74.05,19,60,2.33,broken clouds
106,Sitka,US,57.0531,-135.33,53.49,76,75,9.22,broken clouds
107,Kutum,SD,14.2,24.6667,73.89,13,20,5.68,few clouds
108,Anaconda,US,46.1285,-112.9423,52.79,69,99,6.13,overcast clouds
109,Dunedin,NZ,-45.8742,170.5036,55.11,57,100,5.26,overcast clouds
110,Logan Lake,CA,50.4998,-120.8025,58.84,37,100,1.97,overcast clouds
111,Shubarshi,KZ,48.5872,57.1869,59.65,58,3,6.55,clear sky
112,Ponta Delgada,PT,37.7333,-25.6667,59.72,63,20,9.22,few clouds
113,Urubicha,BO,-15.3833,-62.95,74.8,69,57,2.68,broken clouds
114,Hermanus,ZA,-34.4187,19.2345,58.05,85,97,17.31,light rain
115,Saint-Philippe,RE,-21.3585,55.7679,69.39,68,34,11.01,scattered clouds
116,Hervey Bay,AU,-25.2986,152.8535,71.02,67,0,4.0,clear sky
117,Butaritari,KI,3.0707,172.7902,81.79,72,100,16.98,overcast clouds
118,Dolinsk,RU,47.35,142.8,41.11,98,100,14.34,light rain
119,Vaini,TO,-21.2,-175.2,80.76,94,75,8.05,broken clouds
120,Hambantota,LK,6.1241,81.1185,75.54,100,20,6.91,few clouds
121,Barrow,US,71.2906,-156.7887,33.82,86,100,12.66,mist
122,Nouadhibou,MR,20.931,-17.0347,67.98,77,6,18.41,clear sky
123,Dwarahat,IN,29.7833,79.4333,65.52,74,0,2.39,clear sky
124,Jamestown,US,42.097,-79.2353,62.24,67,0,5.75,clear sky
125,Esso,RU,55.9333,158.7,44.8,73,18,2.71,few clouds
126,Cabedelo,BR,-6.9811,-34.8339,72.27,90,89,7.92,overcast clouds
127,Tigil,RU,57.8,158.6667,52.32,52,15,8.37,few clouds
128,Padang,ID,-0.9492,100.3543,75.25,72,97,2.95,overcast clouds
129,Shache,CN,38.4167,77.2406,67.71,40,100,25.46,overcast clouds
130,Linqiong,CN,30.4159,103.4609,73.22,84,100,2.21,overcast clouds
131,Mar Del Plata,AR,-38.0023,-57.5575,50.09,75,75,4.61,broken clouds
132,Tuatapere,NZ,-46.1333,167.6833,54.23,69,100,4.21,overcast clouds
133,Mpanda,TZ,-6.3655,31.0409,61.79,85,12,2.71,few clouds
134,Bengkulu,ID,-3.8004,102.2655,77.38,79,83,4.83,broken clouds
135,Hanko,FI,59.8333,22.95,46.15,91,83,9.28,broken clouds
136,Burnie,AU,-41.0667,145.9167,52.66,69,5,1.92,light rain
137,Chuy,UY,-33.6971,-53.4616,55.36,82,98,1.19,overcast clouds
138,Ust-Kuyga,RU,70.0167,135.6,35.55,77,31,9.55,scattered clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,82,100,15.88,overcast clouds
140,Talnakh,RU,69.4865,88.3972,33.21,65,2,8.08,clear sky
141,Mahajanga,MG,-15.7167,46.3167,69.82,78,20,3.44,few clouds
142,Clyde River,CA,70.4692,-68.5914,26.83,86,75,19.57,broken clouds
143,Teknaf,BD,20.8624,92.3058,79.61,87,100,4.85,overcast clouds
144,Zhanaozen,KZ,43.3,52.8,67.53,30,0,12.93,clear sky
145,Camacha,PT,33.0833,-16.3333,63.82,72,75,6.91,broken clouds
146,Chapleau,CA,47.8405,-83.4034,62.69,48,75,4.61,broken clouds
147,Preston,GB,53.7667,-2.7167,53.67,78,78,5.95,broken clouds
148,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,14.97,scattered clouds
149,San Nicolas Guadalupe,MX,19.6125,-100.0333,60.62,40,100,6.76,overcast clouds
150,Cherskiy,RU,68.75,161.3,44.65,44,24,6.8,few clouds
151,Tommot,RU,58.9564,126.2925,56.16,70,98,1.88,overcast clouds
152,Fortuna,US,40.5982,-124.1573,55.65,92,100,5.01,overcast clouds
153,Ponta Do Sol,PT,32.6667,-17.1,66.7,78,28,2.93,scattered clouds
154,Chokurdakh,RU,70.6333,147.9167,37.29,61,98,5.55,overcast clouds
155,Volchikha,RU,52.0333,80.3833,62.62,72,100,7.16,light rain
156,Kahului,US,20.8947,-156.47,82.42,68,75,18.41,broken clouds
157,Yulara,AU,-25.2406,130.9889,67.48,59,100,11.74,overcast clouds
158,Udachnyy,RU,66.4167,112.4,50.45,39,73,8.9,broken clouds
159,Fort Nelson,CA,58.8053,-122.7002,58.59,51,75,9.22,broken clouds
160,Port-Gentil,GA,-0.7193,8.7815,75.87,82,98,14.63,overcast clouds
161,El Vigia,VE,8.6219,-71.6506,78.06,80,38,4.36,scattered clouds
162,Atuona,PF,-9.8,-139.0333,78.28,78,22,17.16,light rain
163,Batsfjord,NO,70.6345,29.7185,42.58,87,20,6.91,few clouds
164,Moindou,NC,-21.6924,165.677,79.95,62,49,9.46,scattered clouds
165,Namibe,AO,-15.1961,12.1522,63.3,87,17,5.97,few clouds
166,Yarada,IN,17.65,83.2667,84.52,89,40,2.3,mist
167,Saldanha,ZA,-33.0117,17.9442,57.25,82,43,14.29,light rain
168,Suntar,RU,62.1444,117.6319,53.38,41,100,9.78,overcast clouds
169,Tadine,NC,-21.55,167.8833,79.0,73,0,11.97,clear sky
170,Rio Gallegos,AR,-51.6226,-69.2181,39.25,70,0,10.36,clear sky
171,Peniche,PT,39.3558,-9.3811,62.29,90,8,6.15,clear sky
172,Thul,PK,28.2403,68.7759,91.51,10,0,8.84,clear sky
173,Georgetown,MY,5.4112,100.3354,82.33,88,20,6.91,few clouds
174,Zhigansk,RU,66.7697,123.3711,41.38,62,9,18.25,clear sky
175,Sao Filipe,CV,14.8961,-24.4956,74.35,83,18,2.84,few clouds
176,Mount Hagen,PG,-5.8581,144.2274,65.16,77,75,2.3,haze
177,Yar-Sale,RU,66.8333,70.8333,42.33,71,16,19.42,few clouds
178,Leua,SK,48.2156,18.6071,48.22,58,100,3.31,overcast clouds
179,Airai,TL,-8.9266,125.4092,71.28,54,69,1.59,broken clouds
180,Baran,IN,25.1,76.5167,87.22,50,10,14.54,clear sky
181,Beringovskiy,RU,63.05,179.3167,41.47,75,63,3.74,broken clouds
182,Piacabucu,BR,-10.4056,-36.4344,76.19,80,96,6.53,overcast clouds
183,Saskylakh,RU,71.9167,114.0833,28.26,92,100,5.37,overcast clouds
184,Cedar City,US,37.6775,-113.0619,74.37,15,40,17.27,scattered clouds
185,Grindavik,IS,63.8424,-22.4338,49.95,87,40,12.66,scattered clouds
186,Manta,EC,-0.95,-80.7333,73.18,83,100,10.36,overcast clouds
187,Bandarbeyla,SO,9.4942,50.8122,79.72,76,7,21.03,clear sky
188,Honiara,SB,-9.4333,159.95,86.18,65,48,4.36,scattered clouds
189,New Norfolk,AU,-42.7826,147.0587,47.91,78,84,0.74,broken clouds
190,Manggar,ID,-2.8833,108.2667,83.55,72,53,2.55,broken clouds
191,Hasaki,JP,35.7333,140.8333,79.2,56,4,5.01,clear sky
192,Byron Bay,AU,-28.65,153.6167,65.71,51,0,12.55,clear sky
193,Flinders,AU,-34.5833,150.8552,61.38,64,7,8.99,clear sky
194,Hofn,IS,64.2539,-15.2082,47.23,79,6,7.38,clear sky
195,Iqaluit,CA,63.7506,-68.5145,28.13,86,40,13.8,scattered clouds
196,Rovaniemi,FI,66.5,25.7167,51.21,87,40,9.22,scattered clouds
197,Ketchikan,US,55.3422,-131.6461,52.27,87,100,11.5,light rain
198,Maceio,BR,-9.6658,-35.7353,72.84,94,75,3.44,light rain
199,Kaduna,NG,10.5222,7.4383,75.47,70,2,6.4,clear sky
200,Waipawa,NZ,-41.4122,175.5153,55.96,55,39,5.61,scattered clouds
201,Ayan,RU,56.45,138.1667,34.09,98,100,18.19,snow
202,Harindanga,IN,22.0383,88.3214,86.79,78,66,7.65,broken clouds
203,Nelidovo,RU,56.2211,32.7774,37.44,98,38,5.01,scattered clouds
